"Table 1. Life table for the total population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
48–49,0.00335723627358675,94460.828125,317.1273193359375,94302.265625,3156103.5,33.41176986694336
49–50,0.0036819539964199066,94143.703125,346.6327819824219,93970.390625,3061801.25,32.52263641357422
50–51,0.004029641393572092,93797.0703125,377.96856689453125,93608.0859375,2967831,31.64097785949707
51–52,0.004400948062539101,93419.1015625,411.1325988769531,93213.53125,2874222.75,30.766969680786133
52–53,0.004820072557777166,93007.96875,448.3051452636719,92783.8125,2781009.25,29.9007625579834
53–54,0.0052849845960736275,92559.6640625,489.1763916015625,92315.078125,2688225.5,29.043163299560547
54–55,0.005778339225798845,92070.484375,532.0144653320313,91804.4765625,2595910.5,28.19481658935547
55–56,0.006283685099333525,91538.46875,575.1989135742188,91250.875,2504106,27.355777740478516
56–57,0.006794278975576162,90963.2734375,618.0298461914063,90654.2578125,2412855,26.52559471130371
57–58,0.007318704389035702,90345.2421875,661.2101440429688,90014.640625,2322200.75,25.703630447387695
58–59,0.007868977263569832,89684.03125,705.7216186523438,89331.171875,2232186.25,24.889450073242188
59–60,0.008456273935735226,88978.3125,752.4249877929688,88602.1015625,2142855,24.0828914642334
60–61,0.009092561900615692,88225.890625,802.1994018554688,87824.7890625,2054252.875,23.284013748168945
61–62,0.009767520241439342,87423.6875,853.9126586914063,86996.734375,1966428.125,22.49308204650879
62–63,0.010466912761330605,86569.7734375,906.1182861328125,86116.71875,1879431.375,21.710018157958984
63–64,0.011180669069290161,85663.65625,957.7769775390625,85184.765625,1793314.625,20.934370040893555
64–65,0.01192191056907177,84705.8828125,1009.85595703125,84200.953125,1708129.875,20.165422439575195
65–66,0.012710461392998695,83696.0234375,1063.8150634765625,83164.1171875,1623929,19.40270233154297
66–67,0.013621198944747448,82632.2109375,1125.5498046875,82069.4375,1540764.875,18.64605712890625
67–68,0.014620319940149784,81506.6640625,1191.653564453125,80910.8359375,1458695.375,17.896638870239258
68–69,0.015770327299833298,80315.0078125,1266.593994140625,79681.7109375,1377784.5,17.15475845336914
69–70,0.0171000137925148,79048.4140625,1351.72900390625,78372.546875,1298102.875,16.42161750793457
70–71,0.018428446725010872,77696.6875,1431.8292236328125,76980.7734375,1219730.25,15.698613166809082
71–72,0.020316941663622856,76264.859375,1549.46875,75490.125,1142749.5,14.98395824432373
72–73,0.022101905196905136,74715.390625,1651.3525390625,73889.71875,1067259.375,14.284331321716309
