"Table 3. Life table for females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
24–25,0.0005826799897477031,98940.1875,57.65046691894531,98911.359375,5727581.5,57.88933181762695
25–26,0.0006134592113085091,98882.5390625,60.660404205322266,98852.203125,5628670,56.92279052734375
26–27,0.0006456889677792788,98821.875,63.80819320678711,98789.96875,5529818,55.957427978515625
27–28,0.0006817306857556105,98758.0703125,67.32640838623047,98724.40625,5431028,54.99325942993164
28–29,0.0007244937587529421,98690.7421875,71.50082397460938,98654.9921875,5332303.5,54.030433654785156
29–30,0.0007737661944702268,98619.2421875,76.30823516845703,98581.09375,5233648.5,53.069244384765625
30–31,0.0008284593932330608,98542.9375,81.63882446289063,98502.1171875,5135067.5,52.10995101928711
31–32,0.0008847331046126783,98461.296875,87.11196899414063,98417.7421875,5036565.5,51.15274429321289
32–33,0.000939506571739912,98374.1875,92.4231948852539,98327.9765625,4938147.5,50.197593688964844
33–34,0.000989236170426011,98281.765625,97.223876953125,98233.15625,4839819.5,49.244327545166016
34–35,0.001035546069033444,98184.5390625,101.67461395263672,98133.703125,4741586.5,48.292598724365234
35–36,0.001086647273041308,98082.8671875,106.58148193359375,98029.578125,4643453,47.342140197753906
36–37,0.0011441981187090278,97976.2890625,112.10428619384766,97920.234375,4545423,46.39309310913086
37–38,0.0012029183562844992,97864.1875,117.72262573242188,97805.328125,4447503,45.44566345214844
38–39,0.0012640721397474408,97746.46875,123.55858612060547,97684.6875,4349697.5,44.49979019165039
39–40,0.0013324045576155186,97622.9140625,130.07321166992188,97557.875,4252013,43.55548095703125
40–41,0.0014142458094283938,97492.84375,137.87884521484375,97423.90625,4154455,42.61292266845703
41–42,0.0015130065148696303,97354.96875,147.2987060546875,97281.3203125,4057031.25,41.67256546020508
42–43,0.0016263265861198306,97207.671875,158.09141540527344,97128.625,3959749.75,40.73495101928711
43–44,0.0017503334674984217,97049.578125,169.86912536621094,96964.640625,3862621.25,39.80049514770508
44–45,0.001883345888927579,96879.7109375,182.4580078125,96788.484375,3765656.5,38.86940383911133
45–46,0.002024771412834525,96697.25,195.78982543945313,96599.359375,3668868,37.941802978515625
46–47,0.0021826105657964945,96501.4609375,210.62510681152344,96396.1484375,3572268.75,37.01776885986328
47–48,0.002365926280617714,96290.8359375,227.8170166015625,96176.921875,3475872.5,36.0976448059082
48–49,0.002583846217021346,96063.015625,248.21206665039063,95938.90625,3379695.75,35.182071685791016
49–50,0.0028362697921693325,95814.8046875,271.7566223144531,95678.921875,3283756.75,34.271915435791016
50–51,0.003105001524090767,95543.046875,296.66131591796875,95394.71875,3188077.75,33.36797332763672
51–52,0.003390508471056819,95246.3828125,322.93365478515625,95084.9140625,3092683.25,32.4703483581543
52–53,0.003711456898599863,94923.4453125,352.3042907714844,94747.296875,2997598.25,31.579113006591797
53–54,0.004066173452883959,94571.140625,384.54266357421875,94378.875,2902851,30.69489288330078
54–55,0.004441261291503906,94186.6015625,418.30731201171875,93977.453125,2808472,29.81816864013672
55–56,0.004829319193959236,93768.296875,452.8370361328125,93541.875,2714494.5,28.948957443237305
56–57,0.005221005994826555,93315.4609375,487.2005920410156,93071.859375,2620952.75,28.08701515197754
57–58,0.00561329023912549,92828.2578125,521.0719604492188,92567.71875,2527880.75,27.231801986694336
58–59,0.006011384539306164,92307.1875,554.8939819335938,92029.7421875,2435313.25,26.38270378112793
59–60,0.006429092958569527,91752.296875,589.884033203125,91457.359375,2343283.5,25.539236068725586
60–61,0.006880441214889288,91162.4140625,627.2376098632813,90848.796875,2251826,24.70125389099121
61–62,0.007371199317276478,90535.1796875,667.3528442382813,90201.5,2160977.25,23.86892318725586
62–63,0.007903389632701874,89867.828125,710.2604370117188,89512.703125,2070775.75,23.04245948791504
63–64,0.008480928838253021,89157.5703125,756.1390380859375,88779.5,1981263,22.22203826904297
64–65,0.009110868908464909,88401.4296875,805.413818359375,87998.71875,1892483.5,21.407838821411133
