"Table 8. Life table for black males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
58–59,0.014298422262072563,81923.796875,1171.3809814453125,81338.109375,1717273.75,20.961843490600586
59–60,0.015581365674734116,80752.4140625,1258.23291015625,80123.296875,1635935.625,20.25865936279297
60–61,0.016979267820715904,79494.1796875,1349.7529296875,78819.3046875,1555812.375,19.571399688720703
61–62,0.01844324730336666,78144.4296875,1441.237060546875,77423.8125,1476993.125,18.90081214904785
62–63,0.019919708371162415,76703.1953125,1527.9052734375,75939.2421875,1399569.25,18.246557235717773
63–64,0.02135440893471241,75175.2890625,1605.3238525390625,74372.625,1323630,17.607248306274414
64–65,0.022760381922125816,73569.96875,1674.4805908203125,72732.7265625,1249257.375,16.980533599853516
65–66,0.02427864260971546,71895.484375,1745.5247802734375,71022.71875,1176524.625,16.3643741607666
66–67,0.02593092806637287,70149.9609375,1819.0535888671875,69240.4375,1105502,15.759124755859375
67–68,0.02755059488117695,68330.90625,1882.55712890625,67389.625,1036261.5,15.1653413772583
68–69,0.029041366651654243,66448.3515625,1929.7509765625,65483.4765625,968871.875,14.580826759338379
69–70,0.030500616878271103,64518.6015625,1967.857177734375,63534.671875,903388.4375,14.001984596252441
70–71,0.031843457370996475,62550.74609375,1991.83203125,61554.828125,839853.75,13.426758766174316
71–72,0.03414159268140793,60558.9140625,2067.577880859375,59525.125,778298.9375,12.851930618286133
72–73,0.03611306846141815,58491.3359375,2112.301513671875,57435.1875,718773.8125,12.288552284240723
73–74,0.03904320299625397,56379.03515625,2201.218017578125,55278.42578125,661338.625,11.730222702026367
74–75,0.04187317192554474,54177.81640625,2268.596923828125,53043.515625,606060.1875,11.186500549316406
75–76,0.04490678757429123,51909.21875,2331.076171875,50743.6796875,553016.6875,10.653534889221191
76–77,0.04877166450023651,49578.140625,2418.008544921875,48369.13671875,502273,10.130936622619629
77–78,0.05215773731470108,47160.1328125,2459.765869140625,45930.25,453903.84375,9.624736785888672
78–79,0.057217616587877274,44700.3671875,2557.6484375,43421.54296875,407973.59375,9.126851081848145
79–80,0.06203828379511833,42142.71875,2614.4619140625,40835.48828125,364552.0625,8.650416374206543
80–81,0.06665408611297607,39528.2578125,2634.719970703125,38210.8984375,323716.5625,8.189496994018555
81–82,0.07211274653673172,36893.5390625,2660.494384765625,35563.2890625,285505.65625,7.738635540008545
82–83,0.07969126105308533,34233.04296875,2728.074462890625,32869.0078125,249942.375,7.301202297210693
83–84,0.08760543912649155,31504.96875,2760.006591796875,30124.96484375,217073.375,6.89013147354126
84–85,0.09402991086244583,28744.962890625,2702.88623046875,27393.51953125,186948.40625,6.503692626953125
85–86,0.1009056344628334,26042.076171875,2627.792236328125,24728.1796875,159554.890625,6.126811504364014
86–87,0.1102265939116478,23414.283203125,2580.876708984375,22123.84375,134826.703125,5.758310317993164
87–88,0.12022559344768524,20833.40625,2504.708740234375,19581.05078125,112702.8671875,5.4097185134887695
88–89,0.1309182196855545,18328.697265625,2399.560302734375,17128.91796875,93121.8125,5.0806565284729
89–90,0.14231416583061218,15929.13671875,2266.94189453125,14795.666015625,75992.8984375,4.770685195922852
90–91,0.15441617369651794,13662.1953125,2109.663818359375,12607.36328125,61197.23046875,4.479311466217041
91–92,0.1672191023826599,11552.53125,1931.803955078125,10586.62890625,48589.8671875,4.205993175506592
92–93,0.1807090789079666,9620.7275390625,1738.5528564453125,8751.451171875,38003.23828125,3.9501419067382813
93–94,0.1948627233505249,7882.1748046875,1535.9420166015625,7114.2041015625,29251.7890625,3.7111318111419678
94–95,0.20964668691158295,6346.23291015625,1330.4666748046875,5680.99951171875,22137.583984375,3.4883031845092773
95–96,0.22501733899116516,5015.76611328125,1128.6343994140625,4451.44921875,16456.583984375,3.280971050262451
96–97,0.24092085659503937,3887.1318359375,936.4911499023438,3418.88623046875,12005.1357421875,3.088430404663086
97–98,0.25729355216026306,2950.640625,759.1807861328125,2571.05029296875,8586.2490234375,2.909960985183716
98–99,0.2740626931190491,2191.4599609375,600.597412109375,1891.1612548828125,6015.19873046875,2.7448363304138184
99–100,0.2911474406719208,1590.862548828125,463.1755676269531,1359.2747802734375,4124.03759765625,2.5923280715942383
"100 and over",1,1127.68701171875,1127.68701171875,2764.7626953125,2764.7626953125,2.4517109394073486
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
