"Table 16. Life table for the non-Hispanic black population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
45–46,0.00396536011248827,92839.8828125,368.1435546875,92655.8125,3117058.5,33.574562072753906
46–47,0.004224819131195545,92471.7421875,390.6763916015625,92276.40625,3024402.5,32.706233978271484
47–48,0.004534856881946325,92081.0625,417.5744323730469,91872.2734375,2932126.25,31.842880249023438
48–49,0.004912220407277346,91663.484375,450.271240234375,91438.34375,2840254,30.98566436767578
49–50,0.0053558009676635265,91213.2109375,488.5198059082031,90968.953125,2748815.5,30.13615608215332
50–51,0.005823338404297829,90724.6875,528.320556640625,90460.53125,2657846.5,29.29573631286621
51–52,0.006324907299131155,90196.3671875,570.483642578125,89911.125,2567386,28.464405059814453
52–53,0.006917211692780256,89625.8828125,619.961181640625,89315.90625,2477475,27.642406463623047
53–54,0.007612159475684166,89005.921875,677.5272827148438,88667.15625,2388159,26.83146095275879
54–55,0.008380540646612644,88328.3984375,740.23974609375,87958.28125,2299492,26.03343963623047
55–56,0.00917451549321413,87588.15625,803.5789184570313,87186.3671875,2211533.5,25.249229431152344
56–57,0.009973707608878613,86784.578125,865.5640258789063,86351.796875,2124347.25,24.478395462036133
57–58,0.010805312544107437,85919.015625,928.3818359375,85454.828125,2037995.5,23.719959259033203
58–59,0.011686990968883038,84990.6328125,993.2847290039063,84493.9921875,1952540.625,22.97359848022461
59–60,0.012630855664610863,83997.3515625,1060.9583740234375,83466.875,1868046.625,22.239351272583008
60–61,0.013642550446093082,82936.390625,1131.4638671875,82370.65625,1784579.75,21.517452239990234
61–62,0.014702584594488144,81804.9296875,1202.743896484375,81203.5625,1702209.125,20.808149337768555
62–63,0.015793656930327415,80602.1875,1273.0032958984375,79965.6875,1621005.5,20.11118507385254
63–64,0.016894910484552383,79329.1875,1340.259521484375,78659.0625,1541039.875,19.425888061523438
64–65,0.01801140606403351,77988.9296875,1404.6903076171875,77286.5859375,1462380.75,18.75113296508789
65–66,0.01922803930938244,76584.2421875,1472.5648193359375,75847.9609375,1385094.25,18.085891723632813
