"Table 6. Life table for white females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
37–38,0.0011966173769906163,97961.3125,117.22220611572266,97902.703125,4456894.5,45.49647521972656
38–39,0.0012517921859398484,97844.09375,122.48046875,97782.8515625,4358991.5,44.55038070678711
39–40,0.001313482178375125,97721.609375,128.3555908203125,97657.4296875,4261208.5,43.6055908203125
40–41,0.0013881976483389735,97593.25,135.4787139892578,97525.515625,4163551.25,42.662288665771484
41–42,0.0014803827507421374,97457.7734375,144.27481079101563,97385.640625,4066025.75,41.72089767456055
42–43,0.001588626066222787,97313.5,154.59475708007813,97236.203125,3968640.25,40.782012939453125
43–44,0.0017093097558245063,97158.90625,166.0746612548828,97075.8671875,3871404,39.84610366821289
44–45,0.0018397478852421045,96992.828125,178.44235229492188,96903.609375,3774328,38.913475036621094
45–46,0.0019786853808909655,96814.3828125,191.56520080566406,96718.6015625,3677424.5,37.98427963256836
46–47,0.002132940338924527,96622.8203125,206.09071350097656,96519.7734375,3580705.75,37.05859375
47–48,0.0023105242289602757,96416.7265625,222.77317810058594,96305.34375,3484186,36.13673782348633
48–49,0.0025199383962899446,96193.953125,242.40283203125,96072.75,3387880.75,35.219268798828125
49–50,0.0027616312727332115,95951.546875,264.9827880859375,95819.0546875,3291808,34.306983947753906
50–51,0.0030184914357960224,95686.5625,288.8290710449219,95542.1484375,3195989,33.400604248046875
51–52,0.003291827393695712,95397.734375,314.0328674316406,95240.71875,3100446.75,32.500213623046875
52–53,0.0035998576786369085,95083.703125,342.2878112792969,94912.5625,3005206,31.605899810791016
53–54,0.0039407298900187016,94741.4140625,373.3503112792969,94554.734375,2910293.5,30.71828269958496
54–55,0.004300853703171015,94368.0625,405.86322021484375,94165.1328125,2815738.75,29.83783531188965
55–56,0.0046736737713217735,93962.203125,439.148681640625,93742.625,2721573.75,28.96455955505371
56–57,0.005049633327871561,93523.0546875,472.25714111328125,93286.921875,2627831,28.098217010498047
57–58,0.005425123032182455,93050.796875,504.81201171875,92798.390625,2534544,27.238283157348633
58–59,0.005805716849863529,92545.984375,537.2957763671875,92277.3359375,2441745.75,26.38413429260254
59–60,0.006206429563462734,92008.6875,571.04541015625,91723.1640625,2349468.25,25.535287857055664
60–61,0.006643775384873152,91437.640625,607.4911499023438,91133.890625,2257745.25,24.691638946533203
61–62,0.007123772520571947,90830.1484375,647.0533447265625,90506.625,2166611.25,23.853437423706055
62–63,0.007646834012120962,90183.09375,689.6151733398438,89838.28125,2076104.75,23.020998001098633
63–64,0.00821660179644823,89493.4765625,735.332275390625,89125.8125,1986266.375,22.194538116455078
64–65,0.008841680362820625,88758.140625,784.7711181640625,88365.75,1897140.625,21.374271392822266
65–66,0.009515288285911083,87973.3671875,837.0919799804688,87554.8203125,1808774.875,20.560482025146484
66–67,0.01029264833778143,87136.2734375,896.863037109375,86687.84375,1721220,19.753196716308594
67–68,0.011187560856342316,86239.4140625,964.8087158203125,85757.0078125,1634532.125,18.95342254638672
68–69,0.012280324473977089,85274.6015625,1047.1998291015625,84751,1548775.125,18.162208557128906
69–70,0.013536711223423481,84227.3984375,1140.1619873046875,83657.3125,1464024.125,17.381803512573242
70–71,0.014827486127614975,83087.234375,1231.974853515625,82471.25,1380366.875,16.61346435546875
71–72,0.016570448875427246,81855.2578125,1356.37841796875,81177.0703125,1297895.625,15.85598373413086
