"Table 10. Life table for the Hispanic population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
57–58,0.005157661158591509,92898.609375,479.1395568847656,92659.0390625,2605260.75,28.044130325317383
58–59,0.005628117360174656,92419.46875,520.1476440429688,92159.390625,2512601.75,27.186931610107422
59–60,0.006171657238155603,91899.3203125,567.1710815429688,91615.734375,2420442.25,26.33797836303711
60–61,0.006785200443118811,91332.1484375,619.7069091796875,91022.296875,2328826.5,25.498430252075195
61–62,0.0074286977760493755,90712.4453125,673.8753662109375,90375.5078125,2237804.25,24.669208526611328
62–63,0.008056522347033024,90038.5703125,725.3977661132813,89675.875,2147428.75,23.85009765625
63–64,0.008628496900200844,89313.171875,770.638427734375,88927.8515625,2057752.875,23.03974723815918
64–65,0.009164391085505486,88542.53125,811.4383544921875,88136.8125,1968825,22.235923767089844
65–66,0.009723035618662834,87731.09375,853.0125732421875,87304.5859375,1880688.125,21.436962127685547
66–67,0.010364122688770294,86878.078125,900.4150390625,86427.875,1793383.625,20.642534255981445
67–68,0.011096268892288208,85977.6640625,954.03125,85500.6484375,1706955.75,19.853479385375977
68–69,0.011954901739954948,85023.6328125,1016.4491577148438,84515.40625,1621455,19.07063865661621
69–70,0.012947027571499348,84007.1875,1087.6434326171875,83463.3671875,1536939.625,18.29533576965332
70–71,0.014058775268495083,82919.546875,1165.747314453125,82336.671875,1453476.25,17.52875328063965
71–72,0.015290112234652042,81753.796875,1250.0247802734375,81128.78125,1371139.625,16.77157211303711
72–73,0.01667499914765358,80503.7734375,1342.400390625,79832.578125,1290010.875,16.024229049682617
73–74,0.01823294535279274,79161.375,1443.344970703125,78439.703125,1210178.25,15.287484169006348
74–75,0.01999030075967312,77718.03125,1553.6068115234375,76941.2265625,1131738.5,14.56210994720459
75–76,0.021951861679553986,76164.421875,1671.9508056640625,75328.4453125,1054797.375,13.84895133972168
76–77,0.02420555241405964,74492.46875,1803.13134765625,73590.90625,979468.875,13.14856243133545
77–78,0.02684723772108555,72689.3359375,1951.5079345703125,71713.578125,905878,12.462323188781738
78–79,0.029862811788916588,70737.828125,2112.430419921875,69681.609375,834164.375,11.792338371276855
79–80,0.03318212553858757,68625.3984375,2277.136474609375,67486.828125,764482.8125,11.13994026184082
80–81,0.03696310520172119,66348.265625,2452.43798828125,65122.046875,696995.9375,10.505111694335938
81–82,0.04104667901992798,63895.828125,2622.71142578125,62584.47265625,631873.9375,9.889126777648926
82–83,0.04581890627741814,61273.1171875,2807.46728515625,59869.3828125,569289.4375,9.291014671325684
83–84,0.05168915539979935,58465.6484375,3022.0400390625,56954.62890625,509420.0625,8.713151931762695
84–85,0.05770699307322502,55443.609375,3199.48388671875,53843.8671875,452465.4375,8.160821914672852
85–86,0.06421680748462677,52244.125,3354.950927734375,50566.6484375,398621.5625,7.629978656768799
86–87,0.0710737481713295,48889.17578125,3474.737060546875,47151.8046875,348054.90625,7.119263172149658
87–88,0.08018007129430771,45414.4375,3641.332763671875,43593.7734375,300903.09375,6.625714302062988
88–89,0.09025537222623825,41773.10546875,3770.2470703125,39887.984375,257309.328125,6.159688949584961
89–90,0.10135173797607422,38002.859375,3851.65576171875,36077.03125,217421.34375,5.721183776855469
90–91,0.11351098865270615,34151.203125,3876.536865234375,32212.93359375,181344.3125,5.310041904449463
91–92,0.12676142156124115,30274.666015625,3837.65966796875,28355.8359375,149131.390625,4.9259467124938965
92–93,0.14111420512199402,26437.005859375,3730.636962890625,24571.6875,120775.546875,4.568427562713623
