"Table 4. Life table for the white population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
25–26,0.0010980069637298584,98613.4921875,108.2782974243164,98559.3515625,5397557,54.734466552734375
26–27,0.0011465189745649695,98505.2109375,112.93809509277344,98448.7421875,5298998,53.79408645629883
27–28,0.0011946189915761352,98392.2734375,117.54127502441406,98333.5,5200549,52.85525894165039
28–29,0.0012452314840629697,98274.734375,122.37479400634766,98213.546875,5102215.5,51.917877197265625
29–30,0.001298703020438552,98152.359375,127.47076416015625,98088.625,5004002,50.98198318481445
30–31,0.001354518230073154,98024.890625,132.77650451660156,97958.5,4905913.5,50.047630310058594
31–32,0.0014100027037784457,97892.1171875,138.0281524658203,97823.1015625,4807955,49.11483383178711
32–33,0.0014631341909989715,97754.0859375,143.02734375,97682.578125,4710132,48.18347930908203
33–34,0.0015116174472495914,97611.0625,147.5505828857422,97537.2890625,4612449,47.25334167480469
34–35,0.001557130366563797,97463.515625,151.76339721679688,97387.6328125,4514912,46.32412338256836
35–36,0.0016090783756226301,97311.75,156.5822296142578,97233.453125,4417524.5,45.395591735839844
36–37,0.0016669821925461292,97155.1640625,161.9559326171875,97074.1875,4320291,44.46794891357422
37–38,0.001722480054013431,96993.2109375,167.06887817382813,96909.671875,4223216.5,43.54136276245117
38–39,0.0017754347063601017,96826.140625,171.9084930419922,96740.1875,4126307,42.615631103515625
39–40,0.0018331670435145497,96654.234375,177.183349609375,96565.640625,4029566.75,41.69053649902344
40–41,0.0019061057828366756,96477.0546875,183.89547729492188,96385.109375,3933001,40.76618194580078
41–42,0.0020027263090014458,96293.15625,192.8488311767578,96196.734375,3836616,39.843082427978516
42–43,0.0021228925324976444,96100.3046875,204.0106201171875,95998.296875,3740419.25,38.92203140258789
43–44,0.0022643418051302433,95896.296875,217.14199829101563,95787.7265625,3644421,38.0037727355957
44–45,0.0024232356809079647,95679.15625,231.8531494140625,95563.234375,3548633.25,37.08888626098633
45–46,0.00259447586722672,95447.3046875,247.63572692871094,95323.484375,3453070,36.177764892578125
46–47,0.0027866698801517487,95199.671875,265.2900695800781,95067.03125,3357746.5,35.27056884765625
47–48,0.003013278590515256,94934.3828125,286.0637512207031,94791.3515625,3262679.5,34.367733001708984
48–49,0.0032860597129911184,94648.3203125,311.02001953125,94492.8125,3167888.25,33.470096588134766
49–50,0.0036047452595084906,94337.296875,340.0619201660156,94167.265625,3073395.25,32.578792572021484
50–51,0.003945831675082445,93997.234375,370.89727783203125,93811.78125,2979228,31.694847106933594
51–52,0.00430891802534461,93626.3359375,403.4281921386719,93424.625,2885416.25,30.81842613220215
52–53,0.004716820083558559,93222.90625,439.7156677246094,93003.046875,2791991.75,29.94963264465332
53–54,0.005166163668036461,92783.1875,479.3331298828125,92543.515625,2698988.5,29.089197158813477
54–55,0.005639985669404268,92303.8515625,520.5924072265625,92043.5546875,2606445,28.23766326904297
55–56,0.006124311126768589,91783.2578125,562.1092529296875,91502.203125,2514401.5,27.394990921020508
56–57,0.0066132317297160625,91221.1484375,603.2666015625,90919.515625,2422899.25,26.560718536376953
57–58,0.007114189676940441,90617.8828125,644.6727905273438,90295.546875,2331979.75,25.734210968017578
58–59,0.007639630697667599,89973.2109375,687.3621215820313,89629.53125,2241684.25,24.91501808166504
59–60,0.008201813325285912,89285.8515625,732.305908203125,88919.703125,2152054.75,24.102975845336914
60–61,0.008815145120024681,88553.546875,780.6123657226563,88163.2421875,2063135,23.29816246032715
61–62,0.009469510056078434,87772.9375,831.1666870117188,87357.359375,1974971.75,22.500919342041016
62–63,0.010149095207452774,86941.7734375,882.3803100585938,86500.578125,1887614.5,21.71124839782715
63–64,0.010843767784535885,86059.390625,933.2080688476563,85592.78125,1801113.875,20.92873191833496
