"Table 7. Life table for the black population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
20–21,0.001134403981268406,98208.09375,111.40765380859375,98152.390625,5557354,56.5875358581543
21–22,0.0012564421631395817,98096.6875,123.25281524658203,98035.0625,5459201.5,55.6512336730957
22–23,0.0013583449181169271,97973.4375,133.08172607421875,97906.8984375,5361166.5,54.720611572265625
23–24,0.0014334581792354584,97840.359375,140.25006103515625,97770.234375,5263259.5,53.79436111450195
24–25,0.0014877415960654616,97700.109375,145.35252380371094,97627.4375,5165489.5,52.87086868286133
25–26,0.0015356078511103988,97554.7578125,149.80584716796875,97479.859375,5067862,51.94889450073242
26–27,0.001583461300469935,97404.953125,154.23696899414063,97327.8359375,4970382,51.02802276611328
27–28,0.0016275696689262986,97250.71875,158.28231811523438,97171.578125,4873054.5,50.108158111572266
28–29,0.0016721852589398623,97092.4375,162.35653686523438,97011.2578125,4775883,49.18903350830078
29–30,0.0017212802777066827,96930.078125,166.8438262939453,96846.65625,4678871.5,48.27058410644531
30–31,0.001773801282979548,96763.234375,171.6387481689453,96677.4140625,4582025,47.35295486450195
31–32,0.0018335271161049604,96591.59375,177.10330200195313,96503.046875,4485347.5,46.43621063232422
32–33,0.0019081693608313799,96414.4921875,183.9751739501953,96322.5,4388844.5,45.52058792114258
33–34,0.001997655723243952,96230.515625,192.23544311523438,96134.3984375,4292522,44.60666275024414
34–35,0.0020957801025360823,96038.28125,201.27511596679688,95937.640625,4196387.5,43.6949462890625
35–36,0.0022041439078748226,95837.0078125,211.23855590820313,95731.390625,4100449.75,42.78565979003906
36–37,0.0023170970380306244,95625.765625,221.5741729736328,95514.984375,4004718.5,41.87907409667969
37–38,0.002425353042781353,95404.1953125,231.38885498046875,95288.5,3909203.5,40.97517395019531
38–39,0.00252901460044086,95172.8046875,240.6934051513672,95052.453125,3813915,40.07358169555664
39–40,0.0026383844669908285,94932.109375,250.4674072265625,94806.875,3718862.5,39.17391586303711
40–41,0.0027691666036844254,94681.640625,262.1892395019531,94550.546875,3624055.75,38.27622604370117
41–42,0.0029286362696439028,94419.453125,276.5202331542969,94281.1875,3529505,37.38112258911133
42–43,0.003110695630311966,94142.9296875,292.8500061035156,93996.5,3435224,36.48945236206055
43–44,0.0033098228741437197,93850.078125,310.62713623046875,93694.765625,3341227.5,35.60175323486328
44–45,0.003524803789332509,93539.453125,329.7082214355469,93374.59375,3247532.75,34.71832275390625
