"Table 12. Life table for Hispanic females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
34–35,0.0006211348227225244,98593.265625,61.23971176147461,98562.640625,5057563.5,51.2972526550293
35–36,0.0006469888612627983,98532.0234375,63.749122619628906,98500.1484375,4959001,50.328826904296875
36–37,0.0006771957851015031,98468.2734375,66.68229675292969,98434.9375,4860500.5,49.361080169677734
37–38,0.0007072860607877374,98401.59375,69.59807586669922,98366.796875,4762065.5,48.39419174194336
38–39,0.0007373954285867512,98331.9921875,72.50955963134766,98295.734375,4663699,47.42809295654297
39–40,0.0007709571509622037,98259.484375,75.75385284423828,98221.609375,4565403,46.46272277832031
40–41,0.0008062351262196898,98183.734375,79.15917205810547,98144.15625,4467181.5,45.49818420410156
41–42,0.0008521361742168665,98104.578125,83.59845733642578,98062.78125,4369037.5,44.53449249267578
42–43,0.0009226741967722774,98020.9765625,90.4414291381836,97975.75,4270974.5,43.572044372558594
43–44,0.001025411649607122,97930.53125,100.41910552978516,97880.3203125,4172999,42.6118278503418
44–45,0.0011544168228283525,97830.109375,112.93672180175781,97773.640625,4075118.5,41.65505599975586
45–46,0.00129886984359473,97717.171875,126.92189025878906,97653.7109375,3977345,40.70262145996094
46–47,0.001448582741431892,97590.25,141.3675537109375,97519.5625,3879691.25,39.754905700683594
47–48,0.0016024569049477577,97448.8828125,156.1576385498047,97370.8046875,3782171.75,38.811851501464844
48–49,0.0017568407347425818,97292.7265625,170.92782592773438,97207.265625,3684800.75,37.87334060668945
49–50,0.001915167784318328,97121.796875,186.00453186035156,97028.796875,3587593.5,36.939117431640625
50–51,0.0020885136909782887,96935.7890625,202.45172119140625,96834.5625,3490564.75,36.00904083251953
51–52,0.002278822474181652,96733.3359375,220.43809509277344,96623.1171875,3393730.25,35.08335876464844
52–53,0.002477022586390376,96512.8984375,239.06463623046875,96393.3671875,3297107,34.16234588623047
53–54,0.002680642995983362,96273.8359375,258.0757751464844,96144.796875,3200713.75,33.24593734741211
54–55,0.0028937989845871925,96015.7578125,277.8503112792969,95876.828125,3104569,32.333953857421875
55–56,0.003112752689048648,95737.90625,298.0084228515625,95588.90625,3008692.25,31.426342010498047
56–57,0.0033548418432474136,95439.8984375,320.1857604980469,95279.8046875,2913103.25,30.522907257080078
57–58,0.0036477651447057724,95119.7109375,346.974365234375,94946.21875,2817823.5,29.62397003173828
58–59,0.004010764416307211,94772.734375,380.1111145019531,94582.6796875,2722877.25,28.7305965423584
59–60,0.004436488728970289,94392.625,418.7718200683594,94183.234375,2628294.5,27.84427833557129
60–61,0.004919553175568581,93973.8515625,462.3093566894531,93742.6953125,2534111.25,26.96613121032715
61–62,0.005425085313618183,93511.5390625,507.3080749511719,93257.890625,2440368.5,26.09697723388672
62–63,0.005917755421251059,93004.234375,550.3762817382813,92729.046875,2347110.75,25.236600875854492
63–64,0.0063679274171590805,92453.859375,588.7394409179688,92159.484375,2254381.75,24.38385772705078
