"Table 2. Life table for males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
51–52,0.005440931301563978,91646.0390625,498.6398010253906,91396.71875,2653553.5,28.95437240600586
52–53,0.005965096410363913,91147.3984375,543.7030029296875,90875.546875,2562156.75,28.110036849975586
53–54,0.006548528093844652,90603.6953125,593.3208618164063,90307.03125,2471281.25,27.27572250366211
54–55,0.007169920485466719,90010.375,645.3672485351563,89687.6875,2380974.25,26.452220916748047
55–56,0.007803182117640972,89365.0078125,697.3314208984375,89016.34375,2291286.5,25.639638900756836
56–57,0.008444663137197495,88667.6796875,748.7686767578125,88293.296875,2202270,24.83734703063965
57–58,0.00911618396639824,87918.9140625,801.4849853515625,87518.171875,2113976.75,24.044618606567383
58–59,0.009838087484240532,87117.4296875,857.0689086914063,86688.890625,2026458.625,23.26123046875
59–60,0.010619322769343853,86260.359375,916.026611328125,85802.34375,1939769.75,22.487382888793945
60–61,0.01146990992128849,85344.3359375,978.891845703125,84854.890625,1853967.375,21.723379135131836
61–62,0.012361294589936733,84365.4453125,1042.8660888671875,83844.015625,1769112.5,20.969633102416992
62–63,0.013260341249406338,83322.578125,1104.8858642578125,82770.140625,1685268.5,20.225831985473633
63–64,0.014139737002551556,82217.6953125,1162.53662109375,81636.421875,1602498.375,19.49091911315918
64–65,0.015018866397440434,81055.15625,1217.3565673828125,80446.4765625,1520861.875,18.763296127319336
65–66,0.01594170555472374,79837.796875,1272.7506103515625,79201.421875,1440415.5,18.04177474975586
66–67,0.01702643185853958,78565.046875,1337.682373046875,77896.203125,1361214,17.32594871520996
67–68,0.018188728019595146,77227.3671875,1404.6676025390625,76525.03125,1283317.875,16.61739730834961
68–69,0.019483163952827454,75822.703125,1477.26611328125,75084.0703125,1206792.75,15.91598129272461
69–70,0.020990420132875443,74345.4375,1560.5419921875,73565.171875,1131708.75,15.222302436828613
70–71,0.022447997704148293,72784.8984375,1633.875244140625,71967.9609375,1058143.5,14.537954330444336
71–72,0.024630911648273468,71151.0234375,1752.5145263671875,70274.765625,986175.5625,13.86031436920166
72–73,0.026569554582238197,69398.5078125,1843.887451171875,68476.5625,915900.8125,13.197701454162598
73–74,0.029040491208434105,67554.6171875,1961.8192138671875,66573.703125,847424.25,12.544282913208008
74–75,0.03153933584690094,65592.796875,2068.753173828125,64558.421875,780850.5625,11.90451717376709
75–76,0.034644465893507004,63524.04296875,2200.756591796875,62423.6640625,716292.125,11.275921821594238
76–77,0.03814829885959625,61323.28515625,2339.37890625,60153.59375,653868.5,10.662646293640137
77–78,0.04224970191717148,58983.90625,2492.052490234375,57737.8828125,593714.875,10.065710067749023
78–79,0.04652179032564163,56491.85546875,2628.102294921875,55177.8046875,535977,9.487686157226563
79–80,0.05140077695250511,53863.75390625,2768.638916015625,52479.43359375,480799.1875,8.926210403442383
80–81,0.05678277462720871,51095.11328125,2901.322265625,49644.453125,428319.75,8.382792472839355
81–82,0.06251414120197296,48193.7890625,3012.793212890625,46687.390625,378675.3125,7.857346534729004
82–83,0.0694519430398941,45180.99609375,3137.907958984375,43612.04296875,331987.90625,7.347954750061035
83–84,0.07762156426906586,42043.08984375,3263.450439453125,40411.3671875,288375.875,6.859055042266846
84–85,0.08615536987781525,38779.640625,3341.07421875,37109.1015625,247964.5,6.394192695617676
85–86,0.0954504981637001,35438.56640625,3382.62890625,33747.25,210855.40625,5.949885368347168
86–87,0.10578827559947968,32055.9375,3391.142333984375,30360.3671875,177108.15625,5.524971961975098
87–88,0.11852699518203735,28664.794921875,3397.552001953125,26966.01953125,146747.78125,5.119442939758301
88–89,0.13243746757507324,25267.2421875,3346.32958984375,23594.078125,119781.765625,4.74059534072876
89–90,0.1475410759449005,21920.912109375,3234.23486328125,20303.794921875,96187.6875,4.387941837310791
90–91,0.16383889317512512,18686.677734375,3061.6044921875,17155.875,75883.8984375,4.060855388641357
91–92,0.18130825459957123,15625.0732421875,2832.954833984375,14208.595703125,58728.01953125,3.758575677871704
92–93,0.19989974796772003,12792.1181640625,2557.14111328125,11513.546875,44519.42578125,3.4802231788635254
93–94,0.21953538060188293,10234.9765625,2246.939453125,9111.5068359375,33005.87890625,3.2248122692108154
94–95,0.24010759592056274,7988.037109375,1917.9884033203125,7029.04296875,23894.37109375,2.99126935005188
95–96,0.2614802122116089,6070.048828125,1587.1976318359375,5276.4501953125,16865.328125,2.7784502506256104
96–97,0.283490926027298,4482.85107421875,1270.84765625,3847.42724609375,11588.8779296875,2.585157871246338
97–98,0.3059553802013397,3212.00341796875,982.729736328125,2720.638671875,7741.45068359375,2.4101626873016357
98–99,0.3286730647087097,2229.273681640625,732.7022094726563,1862.922607421875,5020.81201171875,2.252218723297119
99–100,0.3514341115951538,1496.571533203125,525.9462890625,1233.598388671875,3157.8896484375,2.1100826263427734
"100 and over",1,970.625244140625,970.625244140625,1924.2911376953125,1924.2911376953125,1.9825273752212524
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
